rank,face,source,score,dW,dWmax,dC,dCmax,wght,stem_cap,track_em,O_cap,E_over_O,kerned_pairs
75,Tahoma,system,0.1627,0.0955,0.2290,0.0672,0.1218,,0.1330,0.0293,0.8845,0.7069,0
76,Rosario,OFL google/fonts,0.1660,0.1095,0.2041,0.0564,0.1181,565,0.1484,0.0575,0.9094,0.6706,2
77,Red Hat Display,OFL google/fonts,0.1662,0.1073,0.3696,0.0589,0.1004,613,0.1542,-0.0962,1.0426,0.7147,4
78,Hanken Grotesk,OFL google/fonts,0.1682,0.0919,0.2562,0.0763,0.2192,545,0.1550,-0.0347,0.9432,0.7021,4
79,Manrope,OFL google/fonts,0.1685,0.0850,0.1670,0.0835,0.1521,644,0.1549,-0.0434,0.9507,0.6753,1
80,Gadugi,system,0.1694,0.1278,0.1822,0.0416,0.0586,,0.1172,0.0317,0.9456,0.5605,0
81,Inter,OFL google/fonts,0.1703,0.0905,0.2143,0.0798,0.1721,506,0.1549,-0.0612,0.9034,0.7029,1
82,Segoe UI,system,0.1703,0.1278,0.1822,0.0425,0.0586,,0.1172,0.0366,0.9456,0.5605,3
83,Signika,OFL google/fonts,0.1744,0.1259,0.2954,0.0485,0.1368,447,0.1622,0.0170,0.8181,0.7681,3
84,Bahnschrift,system,0.1751,0.1365,0.4034,0.0386,0.1121,505,0.1547,0.0038,0.7101,0.9148,3
85,Average Sans,OFL google/fonts,0.1752,0.1175,0.2131,0.0577,0.1238,,0.1245,0.0477,0.9537,0.6449,0
86,Julius Sans One,OFL google/fonts,0.1763,0.1237,0.2221,0.0526,0.0846,,0.0671,-0.0001,0.9832,0.4879,0
87,Calibri,system,0.1776,0.1350,0.2353,0.0426,0.0642,,0.1323,0.0363,0.8900,0.6223,5
88,Quattrocento Sans,OFL google/fonts,0.1777,0.1000,0.1491,0.0776,0.1353,,0.1136,0.0046,0.9758,0.5932,2
89,Chakra Petch,OFL google/fonts,0.1786,0.1371,0.3478,0.0415,0.0816,,0.1086,-0.0258,0.7657,0.8433,3
90,Andika,OFL google/fonts,0.1811,0.1070,0.2608,0.0741,0.1339,,0.1301,-0.0113,0.8527,0.7068,0
91,Athiti,OFL google/fonts,0.1814,0.1200,0.3057,0.0613,0.1499,,0.1026,-0.0075,0.8078,0.7702,3
92,Poppins,OFL google/fonts,0.1817,0.1156,0.2162,0.0661,0.1495,,0.1306,-0.0388,1.0043,0.5357,0
93,Marcellus,OFL google/fonts,0.1828,0.1112,0.2163,0.0717,0.1082,,0.1269,0.0392,1.0370,0.5098,0
94,Space Grotesk,OFL google/fonts,0.1872,0.1321,0.3397,0.0551,0.1501,503,0.1551,-0.0336,0.8041,0.7923,2
95,Sarabun,OFL google/fonts,0.1876,0.1308,0.2664,0.0568,0.1237,,0.1314,0.0246,0.8471,0.7083,0
96,Marmelad,OFL google/fonts,0.1910,0.1146,0.2531,0.0764,0.1478,,0.1523,-0.0192,0.8604,0.7557,1
97,Alegreya Sans,OFL google/fonts,0.1917,0.1471,0.2399,0.0445,0.0685,,0.1167,0.0489,0.8736,0.6536,3
98,Epilogue,OFL google/fonts,0.1959,0.1437,0.2693,0.0523,0.1251,532,0.1551,0.0138,0.8442,0.6793,2
99,Lucida Sans Unicode,system,0.2033,0.1048,0.1784,0.0985,0.2074,,0.1419,0.0203,0.9351,0.6286,0
100,Trebuchet MS,system,0.2070,0.1410,0.2807,0.0660,0.1303,,0.1365,0.0367,0.8328,0.7172,0
101,Segoe UI,system,0.2073,0.1549,0.2457,0.0524,0.0838,,0.0927,0.0443,0.9407,0.5419,2
102,Urbanist,OFL google/fonts,0.2193,0.0768,0.1944,0.1425,0.2255,649,0.1612,-0.0141,0.9857,0.6329,6
103,PT Sans,OFL google/fonts,0.2202,0.1505,0.2964,0.0697,0.1596,,0.1186,0.0589,0.8171,0.6748,2
104,Gudea,OFL google/fonts,0.2262,0.1621,0.3192,0.0641,0.1360,,0.1071,0.0517,0.7943,0.6781,0
105,Barlow,OFL google/fonts,0.2409,0.1710,0.4321,0.0699,0.1990,,0.1014,-0.0153,0.6814,0.9497,3
106,Puritan,OFL google/fonts,0.2560,0.1272,0.2051,0.1288,0.2825,,0.1389,0.0492,0.9084,0.6168,0
107,Antic,OFL google/fonts,0.2922,0.1737,0.2720,0.1184,0.1906,,0.0971,0.0766,0.8429,0.6508,6
108,Gruppo,OFL google/fonts,0.5115,0.2641,0.4589,0.2474,0.3289,,0.0763,-0.2353,1.3187,0.6984,2
